PharmGKB Accession Id	Name	Generic Names	Trade Names	Brand Mixtures	Type	Cross-references	SMILES	External Vocabulary
PA10054	dexmethylphenidate	D-methylphenidate,Ritadex	Focalin		Drug/Small Molecule			
PA10066	duloxetine	(+-)-duloxetine,Duloxetine HCl,Duloxetine Hydrochloride	Cymbalta,Yentreve		Drug/Small Molecule	TTD:DAP000494,chebi:36795,chemSpider:54822,drugBank:DB00476,iupharLigand:202,keggDrug:D01179,ndc:54868-5215-2,pubChemCompound:60835,pubChemSubstance:46507937,pubChemSubstance:704934,url:http://en.wikipedia.org/wiki/Duloxetine	CNCC[C@@H](c1cccs1)Oc2cccc3c2cccc3	ATC:N06AX(Other antidepressants),MeSH:C058218(duloxetine)
PA10068	electrolytes				Drug/Small Molecule			ATC:B05BB(Solutions affecting the electrolyte balance)
PA10069	emtricitabine	emtricitabine	Coviracil,Emtriva,Racivir	"Sustiva (emtricitabine + tenofovir + efavarenz)","Truvada (emtricitabine + tenofovir disproxil)",	Drug/Small Molecule	TTD:DAP001084,bindingDb:50046283,chebi:31536,chemSpider:54859,drugBank:DB00879,keggCompound:C12599,keggDrug:D01199,ndc:61958-0602-1,pubChemCompound:60877,pubChemSubstance:207107,pubChemSubstance:46507606,url:http://en.wikipedia.org/wiki/Emtricitabine		ATC:J05AF(Nucleoside and nucleotide reverse transcriptase inhibitors)
PA10072	epoetin alfa	Epoetin,Erythropoietin precursor	Epogen,Epogin,Epomax,Eprex,NeoRecormon,Procrit,Recormon		Drug/Small Molecule	TTD:DAP000202,dpd:2243403,drugBank:DB00016,genBank:X02158,ndc:55513-126-10,uniProtKb:P01588,url:http://en.wikipedia.org/wiki/Epoetin_alfa		ATC:B03XA(Other antianemic preparations)
PA10074	escitalopram	Cipralex,Escitalopram Oxalate,escitalopram	Lexapro		Drug/Small Molecule	TTD:DAP000741,chebi:36791,chemSpider:129277,dpd:2263238,drugBank:DB01175,ndc:0456-2005-01,pubChemCompound:146570,pubChemSubstance:46507040,pubChemSubstance:724297,url:http://en.wikipedia.org/wiki/Escitalopram	CN(C)CCC[C@@]1(c2ccc(cc2CO1)C#N)c3ccc(cc3)F	ATC:N06AB(Selective serotonin reuptake inhibitors)
PA10075	esomeprazole	(-)-omeprazole,(s)-omeprazole,Esomeprazole Sodium,Esomperazole,esomeprazole	Axagon,Esopral,Lucen,Nexiam,Nexium,Nexium IV		Drug/Small Molecule	TTD:DCL000524,chebi:50275,dpd:2244521,drugBank:DB00736,keggDrug:D01984,ndc:0186-6020-01,pubChemCompound:4594,pubChemSubstance:3865629,url:http://en.wikipedia.org/wiki/Esomeprazole	Cc1cnc(c(c1OC)C)C[S@](=O)c2[nH]c3ccc(cc3n2)OC	ATC:A02BC(Proton pump inhibitors)
PA10079	fenoterol	Fenoterolum [inn-latin],Phenoterol	Berotec	"Duovent UDV (Fenoterol Hydrobromide + Ipratropium Bromide)",	Drug/Small Molecule	TTD:DAP000946,bindingDb:50131281,chebi:149226,chemSpider:3226,dpd:541389,drugBank:DB01288,iupharLigand:557,pubChemCompound:3343,pubChemSubstance:10445391,pubChemSubstance:46509099,url:http://en.wikipedia.org/wiki/Fenoterol	CC(Cc1ccc(cc1)O)NCC(c2cc(cc(c2)O)O)O	ATC:G02CA(Sympathomimetics, labour repressants),ATC:R03AC(Selective beta-2-adrenoreceptor agonists),ATC:R03CC(Selective beta-2-adrenoreceptor agonists)
PA10084	fosamprenavir		Lexiva,Telzir		Drug/Small Molecule	TTD:DAP000707,chemSpider:116245,dpd:2261545,drugBank:DB01319,ndc:0173-0721-00,pubChemCompound:131536,pubChemSubstance:10242897,pubChemSubstance:46504901,url:http://en.wikipedia.org/wiki/Fosamprenavir		ATC:J05AE(Protease inhibitors),MeSH:C426859(fosamprenavir)
PA10088	gemifloxacin	Gemifloxacin mesilate,gemifloxacin mesylate	Factive		Drug/Small Molecule	TTD:DAP000851,chebi:101853,drugBank:DB01155,keggDrug:D02471,ndc:67707-320-05,pubChemCompound:5464436,pubChemSubstance:610685,url:http://en.wikipedia.org/wiki/Gemifloxacin		ATC:J01MA(Fluoroquinolones)
PA10090	l-glutamine	(s)-2,5-diamino-5-oxopentanoic acid,2-Aminoglutaramic acid,AES-14,Glutamine,L-glutamine,l-(+)-glutamine,l-2-aminoglutaramic acid,l-glutamic acid gamma-amide	Cebrogen,Earthlink Science Glutamine Chews Chocolate,Glavamin,Glutamine Express,Glutamine Fuel Mega,Glutamine Fuel Powder,L-Glutamine Power,Saforis,Stimulina		Drug/Small Molecule	HET:GLN,chebi:18050,chebi:28300,chemSpider:5746,drugBank:DB00130,iupharLigand:723,keggCompound:C00064,keggDrug:D00015,pdb:GLN,pubChemCompound:5961,pubChemSubstance:46505866,pubChemSubstance:8143908,url:http://en.wikipedia.org/wiki/L-Glutamine		ATC:B05XB(Amino acids),MeSH:C097188(polyglutamine)
PA10116	iobenguane (131i)				Drug/Small Molecule			ATC:V09IX(Other diagnostic radiopharmaceuticals for tumour detection)
PA10136	melarsoprol				Drug/Small Molecule			ATC:P01CD(Arsenic compounds)
PA10140	miglustat		Miglustat, Hydrochloride,Zavesca		Drug/Small Molecule	TTD:DAP000609,bindingDb:18355,chebi:50381,chemSpider:46764,dpd:2250519,drugBank:DB00419,pubChemCompound:51634,pubChemSubstance:189803,pubChemSubstance:46506350,url:http://en.wikipedia.org/wiki/Miglustat		ATC:A16AX(Various alimentary tract and metabolism products),MeSH:C059896(miglustat)
PA10158	pipotiazine	Pipothiazine,Pipotiazina [inn-spanish],Pipotiazinum [inn-latin]	Piportil Depot,Piportil L4		Drug/Small Molecule	chemSpider:56598,dpd:1926667,drugBank:DB01621,keggDrug:D08385,pubChemCompound:62867,pubChemSubstance:14883233,pubChemSubstance:46508263	CN(C)S(=O)(=O)c1ccc2c(c1)N(c3ccccc3S2)CCCN4CCC(CC4)CCO	ATC:N05AC(Phenothiazines with piperidine structure),MeSH:C084783(pipothiazine)
PA10159	pirenzepine		Bisvanil,Gasteril,Gastrozepin,Leblon,Pirenzepin,Pirenzepina [INN-Spanish],Pirenzepine Gastrozepin,Pirenzepinum [INN-Latin],Tabe,Ulcosan		Drug/Small Molecule	TTD:DAP000492,chebi:8247,chemSpider:4682,dpd:608998,drugBank:DB00670,iupharLigand:328,keggCompound:C07508,pubChemCompound:4848,pubChemSubstance:46509029,pubChemSubstance:9711,url:http://en.wikipedia.org/wiki/Pirenzepine		ATC:A02BX(Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD))
PA10162	podophyllum		Podocon-25,Podofin		Drug/Small Molecule			
PA10176	rasburicase	Urate oxidase,Uricase,rasburicase	Elitek,Fasturtec		Drug/Small Molecule	dpd:2248416,drugBank:DB00049,genBank:X61766,ndc:0024-5150-10,uniProtKb:Q00511,url:http://en.wikipedia.org/wiki/Rasburicase		ATC:V03AF(Detoxifying agents for antineoplastic treatment)
PA10196	technetium (99mtc) mertiatide				Drug/Small Molecule			ATC:V09CA(Technetium (99mTc) compounds)
PA10202	telithromycin	telithromycin	Ketek		Drug/Small Molecule	HET:TEL,TTD:DAP000109,dpd:2247520,drugBank:DB00976,keggCompound:C12009,keggDrug:D01078,ndc:0088-2225-41,pdb:TEL,pubChemCompound:5462516,pubChemSubstance:14168,url:http://en.wikipedia.org/wiki/Telithromycin		ATC:J01FA(Macrolides)
PA10204	tenofovir	D,L-Tenofovir,PMPA,TDF,Tenofovir disoproxil,Tenofovir disoproxil fumarate	Apropovir,Viread	"Atripla (tenofovir + emtricitabine + efavirenz)","Truvada (tenofovir + emtricitabine)",	Drug/Small Molecule	HET:TFO,TTD:DAP001430,chemSpider:408154,dpd:2247128,drugBank:DB00300,keggDrug:D01982,ndc:53808-0810-1,pdb:TFO,pubChemCompound:464205,pubChemSubstance:46508131,pubChemSubstance:699321,url:http://en.wikipedia.org/wiki/Tenofovir		ATC:J05AF(Nucleoside and nucleotide reverse transcriptase inhibitors),MeSH:C096918(tenofovir)
PA10209	thioacetazone and isoniazid				Drug/Small Molecule			ATC:J04AM(Combinations of drugs for treatment of tuberculosis)
PA10211	thyrotropin				Drug Class			ATC:H01AB(Thyrotropin)
PA10226	valdecoxib	valdecoxib	Bextra		Drug/Small Molecule	bindingDb:13063,chemSpider:106796,dpd:2246622,drugBank:DB00580,ndc:0025-1975-31,pdb:COX,pubChemCompound:119607,pubChemSubstance:46506229,pubChemSubstance:696308,url:http://en.wikipedia.org/wiki/Valdecoxib	Cc1c(c(no1)c2ccccc2)c3ccc(cc3)S(=O)(=O)N	ATC:M01AH(Coxibs),MeSH:C406224(valdecoxib)
PA10227	valganciclovir	Cymeval,L-valine, ester with ganciclovir,valganciclovir	Valcyt,Valcyte		Drug/Small Molecule	TTD:DAP000646,chemSpider:57721,dpd:2245777,drugBank:DB01610,ndc:0004-0038-22,pubChemCompound:64147,pubChemSubstance:11068227,pubChemSubstance:46505524,url:http://en.wikipedia.org/wiki/Valganciclovir	CC(C)[C@@H](C(=O)OCC(CO)OCn1cnc2c1nc([nH]c2=O)N)N	MeSH:C121677(valganciclovir)
PA10229	vardenafil	VDN	Levitra		Drug/Small Molecule	TTD:DAP000414,bindingDb:14776,chemSpider:99300,dpd:2250462,drugBank:DB00862,ndc:0085-1923-01,pubChemCompound:110634,pubChemSubstance:46506777,pubChemSubstance:687902,url:http://en.wikipedia.org/wiki/Vardenafil		ATC:G04BE(Drugs used in erectile dysfunction),MeSH:C426063(vardenafil)
PA10231	vigabatrin		4-Amino-5-hexenoic acid,4-Aminohexenoic acid,GVG,Sabril,Vigabatrin [USAN:BAN:INN],Vigabatrina [Spanish],Vigabatrine,Vigabatrine [French],Vigabatrinum [Latin],gamma-Vinyl GABA		Drug/Small Molecule	TTD:DAP000557,bindingDb:50118886,chemSpider:5463,dpd:2068036,drugBank:DB01080,keggCompound:C07500,keggDrug:D00535,ndc:67386-211-65,pubChemCompound:5665,pubChemSubstance:183802,pubChemSubstance:46507052,url:http://en.wikipedia.org/wiki/Vigabatrin	C=CC(CCC(=O)O)N	ATC:N03AG(Fatty acid derivatives)
PA10232	vindesine	Desacetylvinblastine Amide Sulfate,Vindesine Sulfate	DAVA,Eldesine,Eldisine		Drug/Small Molecule	TTD:DAP000949,chebi:36373,chemSpider:37302,dpd:555665,drugBank:DB00309,keggDrug:D01769,pubChemCompound:40839,pubChemSubstance:181645,pubChemSubstance:46504548,url:http://en.wikipedia.org/wiki/Vindesine		ATC:L01CA(Vinca alkaloids and analogues)
PA10233	voriconazole	VCZ,voriconazole	Vfend		Drug/Small Molecule	TTD:DAP001271,chebi:10023,chemSpider:64684,dpd:2256460,drugBank:DB00582,keggCompound:C07622,keggDrug:D00578,ndc:0049-3190-28,pubChemCompound:71616,pubChemSubstance:213886,pubChemSubstance:46506421,url:http://en.wikipedia.org/wiki/Voriconazole	C[C@@H](c1c(cncn1)F)[C@](Cn2cncn2)(c3ccc(cc3F)F)O	ATC:J02AC(Triazole derivatives),MeSH:C102790(voriconazole)
PA10235	zoledronate	ZOL,Zoledronic acid	Aclasta,Reclast,Zometa,Zometa Concentrate		Drug/Small Molecule	HET:ZOL,TTD:DAP001539,bindingDb:12578,chemSpider:61986,dpd:2242725,drugBank:DB00399,keggDrug:D01968,ndc:0078-0387-25,pdb:ZOL,pubChemCompound:68740,pubChemSubstance:46507310,pubChemSubstance:536160,url:http://en.wikipedia.org/wiki/Zoledronate		ATC:M05BA(Bisphosphonates),MeSH:C088658(zoledronic acid)
PA10236	zopiclone	(+-)-zopiclone,Zopiclona [INN-Spanish],Zopiclone [Ban:Inn:Jan],Zopiclonum [INN-Latin]	Amoban,Amovane,Imovance,Imovane,Novo-zopiclone,Nu-Zopiclone,Ran-zopiclone,Rhovane,Sopivan,Ximovan,Zimovane		Drug/Small Molecule	TTD:DAP000427,bindingDb:50054136,chebi:32315,chemSpider:5533,dpd:2257580,drugBank:DB01198,keggDrug:D01372,pubChemCompound:5735,pubChemSubstance:46505233,url:http://en.wikipedia.org/wiki/Zopiclone	CN1CCN(CC1)C(=O)OC2c3c(nccn3)C(=O)N2c4ccc(cn4)Cl	ATC:N05CF(Benzodiazepine related drugs),MeSH:C515050(zopiclone)
PA10238	pancreozymin (cholecystokinin)				Drug/Small Molecule			ATC:V04CK(Tests for pancreatic function)
PA10239	clodronate	clodronate	Acide Clodronique [INN-French],Acido Clodronico [INN-Spanish],Acidum Clodronicum [INN-Latin],Bonefos,Clasteon,Dichloromethanediphosphonic acid,Dichloromethylidene diphosphonate,Loron,Ostac		Drug/Small Molecule	TTD:DAP000564,bindingDb:50216172,chebi:110423,chemSpider:23731,dpd:1984837,drugBank:DB00720,pubChemCompound:25419,pubChemSubstance:168153,pubChemSubstance:46508646,url:http://en.wikipedia.org/wiki/Clodronate		ATC:M05BA(Bisphosphonates)
PA10240	haemophilus b conjugate vaccine (prp-d-diphtheria toxoid conjugate)		Prohibit		Drug/Small Molecule			
PA10242	nitrazepam	1, 3-Dihydro-7-nitro-5-phenyl-2H-1,4-benzodiazepin-2-one,1,3-Dihydro-7-nitro-5-phenyl-2H-1,4-benzodiazepin-2-one,2,3-Dihydro-7-nitro-5-phenyl-1H-1,4-benzodiazepin-2-on,7-Nitro-1,3-dihydro-5-phenyl-2H-1,4-benzodiazepin-2-one,7-Nitro-5-phenyl-1,3-dihydro-2H-1,4-benzodiazepin-2-one,7-Nitro-5-phenyl-2,3-dihydro-1H-1,4-benzodiazepin-2-one,N-desmethylnimetazepam,NTZ,Nitrazepamum [inn-latin]	Alodorm,Apo-nitrazepam tablets BP,Apodorm,Atempol,Benzalin,Calsamin,Calsmin,Cerson,Dormicum,Dormin-5,Dormo-puren,Dumolid,Eatan,Eatan n,Epibenzalin,Epinelbon,Eunoctin,Eunoktin,Gerson,Hipnax,Hipsal,Ibrovek,Imeson,Imesont,Insomin,Ipersed,LA 1,Magadon,Megadon,Mitidin,Mogadan,Mogadon,Mogadone,Nelbon,Nelmat,Neozepam,Neuchlonic,Nitrados,Nitravet,Nitrazadon,Nitrazepam-10,Nitrazepam-5,Nitrempax,Nitrenpax,Noctesed,Pacisyn,Paxisyn,Pelson,Persopit,Radedorm,Relact,Remnos,Sandoz nitrazepam,Somitran,Somnased,Somnibel,Somnite,Sonebon,Sonebon tofraniln a,Sonnolin,Surem,Trazenin,Unisomnia		Drug/Small Molecule	TTD:DAP000691,bindingDb:50020856,chemSpider:4350,dpd:511528,drugBank:DB01595,keggCompound:C07487,keggDrug:D00531,pubChemCompound:4506,pubChemSubstance:10470563,pubChemSubstance:46505806,url:http://en.wikipedia.org/wiki/Nitrazepam	c1ccc(cc1)C2=NCC(=O)Nc3c2cc(cc3)N(=O)=O	ATC:N05CD(Benzodiazepine derivatives)
PA10246	almotriptan	almotriptan	Almogran,Axert		Drug/Small Molecule	TTD:DAP001345,chebi:520985,chemSpider:110198,dpd:2248128,drugBank:DB00918,ndc:0062-2080-06,pubChemCompound:123606,pubChemSubstance:46505165,pubChemSubstance:700325,url:http://en.wikipedia.org/wiki/Almotriptan	CN(C)CCc1c[nH]c2c1cc(cc2)CS(=O)(=O)N3CCCC3	ATC:N02CC(Selective serotonin (5HT1) agonists),MeSH:C409045(almotriptan)
PA10247	aminobenzoic acid				Drug/Small Molecule		c1ccc(c(c1)C(=O)O)N	ATC:D02BA(Protectives against UV-radiation for topical use)
PA10251	atazanavir	ATV,ATZ,Atazanavir sulfate,BMS-232632,atazanavir	Latazanavir,Reyataz,Zrivada		Drug/Small Molecule	TTD:DNC000332,bindingDb:13934,chebi:37924,chemSpider:130642,dpd:2248610,drugBank:DB01072,keggDrug:D01276,pubChemCompound:148192,pubChemSubstance:46508504,pubChemSubstance:725881,url:http://en.wikipedia.org/wiki/Atazanavir		ATC:J05AE(Protease inhibitors),MeSH:C413408(atazanavir)
PA10252	bortezomib	bortezomib	Velcade		Drug/Small Molecule	TTD:DAP001318,chebi:52717,dpd:2262452,drugBank:DB00188,ndc:63020-049-01,pubChemCompound:93860,pubChemSubstance:670916,url:http://en.wikipedia.org/wiki/Bortezomib		ATC:L01XX(Other antineoplastic agents),MeSH:C400082(bortezomib)
PA10253	buserelin		Cinnafact,Suprefact		Drug/Small Molecule			ATC:L02AE(Gonadotropin releasing hormone analogues)
PA10268	flupenthixol	Flupenthixole	Depixol,Emergil,Fluanxol,Fluanxol Depot,Flupentixol,Flurentixol,Fluxanxol,Siplaril,Siplarol		Drug/Small Molecule	TTD:DAP000026,chebi:5121,dpd:2156016,drugBank:DB00875,keggDrug:D01044,pubChemCompound:17012,url:http://en.wikipedia.org/wiki/Flupenthixol		MeSH:C007761(flupenthixol decanoate)
PA10270	ibandronate	Ibandronate sodium,Ibandronate sodium monohydrate,Ibandronic Acid,R484,ibandronate	Bondronat,Boniva,Bonviva		Drug/Small Molecule	HET:BFQ,TTD:DAP001022,bindingDb:12577,chemSpider:54839,dpd:2232770,drugBank:DB00710,ndc:0004-0185-23,pdb:BFQ,pubChemCompound:60852,pubChemSubstance:214304,pubChemSubstance:46508134,url:http://en.wikipedia.org/wiki/Ibandronate		ATC:M05BA(Bisphosphonates),MeSH:C073007(ibandronic acid)
PA10284	oxprenolol	(+)-1-(o-(Allyloxy)phenoxy)-3-(isopropylamino)propan-2-ol,(+-)-oxprenolol,(1)-1-(o-(Allyloxy)phenoxy)-3-(isopropylamino)propan-2-ol,1-(Isopropylamino)-2-hydroxy-3-(o-(allyloxy)phenoxy)propane,1-(o-(Allyloxy)phenoxy)-3-(isopropylamino)-2-propanol,1-[2-(Allyloxy)phenoxy]-3-(isopropylamino)-2-propanol,DL-oxprenolol,Osprenololo [dcit],Oxprenololum [inn-latin]	Coretal,Laracor,Slow-pren,Trasacor,Trasicor		Drug/Small Molecule	TTD:DAP000485,bindingDb:50240370,chemSpider:4470,dpd:402575,drugBank:DB01580,pubChemCompound:4631,pubChemSubstance:10354504,pubChemSubstance:46508996,url:http://en.wikipedia.org/wiki/Oxprenolol	CC(C)NCC(COc1ccccc1OCC=C)O	ATC:C07AA(Beta blocking agents, non-selective)
PA10292	suramin	Bayer 205,SVR,Sodium suramin,Suramin sodium,Suramine,Suramine sodium	Antrypol,Belganyl,Farma,Fourneau,Germanin,Moranyl,Naganil,Naganin,Naganine,Naganol,Naphuride		Drug/Small Molecule	HET:SVR,TTD:DAP001031,chebi:45906,chemSpider:5168,drugBank:DB04786,iupharLigand:1728,keggCompound:C07974,pdb:SVR,pubChemCompound:5361,pubChemSubstance:46507013,pubChemSubstance:7890636,url:http://en.wikipedia.org/wiki/Suramin		ATC:P01CX(Other agents against leishmaniasis and trypanosomiasis)
PA10305	lanthanum carbonate				Drug/Small Molecule		C(=O)([O-])[O-].[La]	ATC:V03AE(Drugs for treatment of hyperkalemia and hyperphosphatemia)
PA10308	alpha-1-proteinase inhibitor	Alpha 1-antitrypsin,Alpha-1 protease inhibitor,Alpha-1-antiproteinase,Alpha-1-antitrypsin precursor	Aralast,Prolastin		Drug/Small Molecule	TTD:DAP001102,dpd:2204606,drugBank:DB00058,genBank:K01396,ndc:0944-2802-01,uniProtKb:P01009,url:http://en.wikipedia.org/wiki/Alpha_1-antitrypsin		
PA10309	amsacrine	Acridinyl Anisidide,M-AMSA,MAMSA	AMSA P-D,Amsidine,Amsidyl,Amsine		Drug/Small Molecule	TTD:DAP000046,chebi:2687,chemSpider:2094,dpd:582212,drugBank:DB00276,keggCompound:C01553,keggDrug:D02321,pubChemCompound:2179,pubChemSubstance:46507539,pubChemSubstance:4711,url:http://en.wikipedia.org/wiki/Amsacrine		ATC:L01XX(Other antineoplastic agents)
PA10318	dornase alfa	DNase,DNase I,Deoxyribonuclease I,Deoxyribonuclease-1 precursor,Dornase alfa,rhDNase	Dilor,Dilor-400,Lufyllin,Lufyllin-400,Neothylline,Pulmozyme,Viscozyme		Drug/Small Molecule	TTD:DAP000981,dpd:2046733,drugBank:DB00003,genBank:M55983,uniProtKb:P24855,url:http://en.wikipedia.org/wiki/Dornase_alfa		ATC:R05CB(Mucolytics)
PA10323	l-tryptophan	(-)-Tryptophan,(S)-Tryptophan,(S)-a-Amino-1H-indole-3-propanoic acid,(S)-a-Amino-b-indolepropionic acid,(S)-a-Aminoindole-3-propionic acid,2-Amino-3-indolylpropanoic acid,3-Indol-3-ylalanine,L-(-)-Tryptophan,L-Tryptophane,Tryptophan,Tryptophane,alpha-Amino-beta-(3-indolyl)-propionic acid,l-a-Aminoindole-3-propionic acid,l-b-3-Indolylalanine	Alti-Tryptophan,Lyphan		Drug/Small Molecule	HET:TRP,TTD:DAP001316,bindingDb:21974,chebi:16828,chemSpider:6066,drugBank:DB00150,iupharLigand:717,keggCompound:C00078,keggDrug:D00020,pdb:TRP,pubChemCompound:6305,pubChemSubstance:46508329,pubChemSubstance:8144649		ATC:N06AX(Other antidepressants)
PA10333	tadalafil	CIA,ICOS 351,Tadanafil,tadalafil	Cialis,Cialis/Tadalafil Hcl,Cialis/Taladafil		Drug/Small Molecule	HET:CIA,TTD:DAP000615,bindingDb:14777,chemSpider:99301,dpd:2248088,drugBank:DB00820,keggDrug:D02008,ndc:0002-4465-34,pdb:CIA,pubChemCompound:110635,pubChemSubstance:46507646,pubChemSubstance:687903,url:http://en.wikipedia.org/wiki/Tadalafil		ATC:G04BE(Drugs used in erectile dysfunction),MeSH:C429886(tadalafil)
PA10335	technetium (99mtc) sulfur colloid				Drug/Small Molecule			ATC:V09DB(Technetium (99mTc), particles and colloids)
PA10339	hemophilus influenzae b vaccines				Drug Class			ATC:J07AG(Hemophilus influenzae B vaccines)
